total_bill,tip,sex,smoker,day,time,size,revenue,demand,price,elasticity,optimized_demand,optimized_revenue,customer_id
16.99,1.01,Female,No,Sun,Dinner,2,16.99,2,8.495,-0.8254598811526375,1.8349080237694726,15.587543661921668,0
10.34,1.66,Male,No,Sun,Dinner,3,10.34,3,3.4466666666666668,-0.2492856935900838,2.925214291922975,10.082238592827855,1
21.01,3.5,Male,No,Sun,Dinner,3,21.01,3,7.003333333333334,-0.46800605818859486,2.8595981825434214,20.026719271745762,2
23.68,3.31,Male,No,Sun,Dinner,2,23.68,2,11.84,-0.6013415158029634,1.8797316968394073,22.256023290578582,3
24.59,3.61,Female,No,Sun,Dinner,4,24.59,4,6.1475,-1.0439813595575633,3.5824074561769748,22.022849836847953,4
25.29,4.71,Male,No,Sun,Dinner,4,25.29,4,6.3225,-1.0440054796637974,3.582397808134481,22.649710141930257,5
8.77,2.0,Male,No,Sun,Dinner,2,8.77,2,4.385,-1.1419163878318006,1.7716167224336399,7.768539327871511,6
26.88,3.12,Male,No,Sun,Dinner,4,26.88,4,6.72,-0.3338238542250648,3.866470458309974,25.982681479843023,7
15.04,1.96,Male,No,Sun,Dinner,2,15.04,2,7.52,-0.5988849882567912,1.8802230023486417,14.139276977661785,8
14.78,3.23,Male,No,Sun,Dinner,2,14.78,2,7.39,-0.49192742220395447,1.901614515559209,14.052931269982555,9
10.27,1.71,Male,No,Sun,Dinner,2,10.27,2,5.135,-1.1794155057041975,1.7641168988591605,9.058740275641789,10
35.26,5.0,Female,No,Sun,Dinner,4,35.26,4,8.815,-0.23009014783800563,3.9079639408647977,34.44870213872319,11
15.42,1.57,Male,No,Sun,Dinner,2,15.42,2,7.71,-0.3675573591995782,1.9264885281600843,14.85322655211425,12
18.43,3.0,Male,No,Sun,Dinner,4,18.43,4,4.6075,-0.9876608893217238,3.6049356442713103,16.60974098098006,13
14.83,3.02,Female,No,Sun,Dinner,2,14.83,2,7.415,-1.0181750327928993,1.79636499344142,13.32004642636813,14
21.58,3.92,Male,No,Sun,Dinner,2,21.58,2,10.79,-1.0165954901465661,1.7966809019706869,19.38618693226371,15
10.33,1.67,Female,No,Sun,Dinner,3,10.33,3,3.4433333333333334,-0.8957577570404622,2.731272672887861,9.404682236977202,16
16.29,3.71,Male,No,Sun,Dinner,3,16.29,3,5.43,-0.6752435683677621,2.797426929489671,15.190028227128915,17
16.97,3.5,Female,No,Sun,Dinner,3,16.97,3,5.656666666666666,-0.7680549813578842,2.7695835055926348,15.66661069663567,18
20.65,3.35,Male,No,Sat,Dinner,3,20.65,3,6.883333333333333,-0.908770859801958,2.7273687420594124,18.773388174508955,19
17.92,4.08,Male,No,Sat,Dinner,2,17.92,2,8.96,-0.5881471052776205,1.8823705789444758,16.866040387342505,20
20.29,2.75,Female,No,Sat,Dinner,2,20.29,2,10.145,-1.0605061393479582,1.7878987721304083,18.138233043262993,21
15.77,2.23,Female,No,Sat,Dinner,2,15.77,2,7.885,-0.9078553514647818,1.8184289297070437,14.33831211074004,22
39.42,7.58,Male,No,Sat,Dinner,4,39.42,4,9.855,-0.8336381567063083,3.6665447373174764,36.133798386263734,23
19.82,3.18,Male,No,Sat,Dinner,2,19.82,2,9.91,-0.743930015782964,1.8512139968434072,18.345530708718165,24
17.81,2.34,Male,No,Sat,Dinner,4,17.81,4,4.4525,-0.41482403860698636,3.8340703845572053,17.071198387240955,25
13.37,2.0,Male,No,Sat,Dinner,2,13.37,2,6.685,-1.00032621784164,1.799934756431672,12.032563846745726,26
12.69,2.0,Male,No,Sat,Dinner,2,12.69,2,6.345,-0.6857655615863884,1.8628468876827222,11.819763502346872,27
21.7,4.3,Male,No,Sat,Dinner,2,21.7,2,10.85,-0.6075854311379575,1.8784829137724084,20.38153961443063,28
19.65,3.0,Female,No,Sat,Dinner,2,19.65,2,9.825,-1.1535495872800023,1.7692900825439994,17.383275060994794,29
9.55,1.45,Male,No,Sat,Dinner,2,9.55,2,4.775,-0.5924551480985616,1.8815089703802876,8.984205333565875,30
18.35,2.5,Male,No,Sat,Dinner,4,18.35,4,4.5875,-1.0294758763127083,3.5882096494749165,16.46091176696618,31
15.06,3.0,Female,No,Sat,Dinner,2,15.06,2,7.53,-1.1349484070147204,1.7730103185970558,13.350767699035831,32
20.69,2.45,Female,No,Sat,Dinner,4,20.69,4,5.1725,-0.2511144627466667,3.8995542149013334,20.17044417657715,33
17.78,3.27,Male,No,Sat,Dinner,2,17.78,2,8.89,-0.2343679669254406,1.9531264066149119,17.363293754806566,34
24.06,3.6,Male,No,Sat,Dinner,3,24.06,3,8.02,-0.3916026518835388,2.882519204434938,23.117804019568204,35
